"Project.ID","Survey.ID","Study.Area.ID","Study.Area","Study.Area.Visit.ID","Design.Component.ID","Design.Component.Label","Design.Component.Visit.ID","Year","Visit.Start.Date","Visit.Start.Time","Nights.Deployed","Design.Component.Visit.Note","Air.Temperature..C.","Field.Observer.Name","UTM.Zone","UTM.Easting","UTM.Northing","Longitude..DD.","Latitude..DD.","Geographic.Coordinate.Source","Taxonomic.Unit.ID","Species.Code","Animal.ID","Count","Survey.Observation.Note","Survey.Observation.ID","Detection.Type.Code","Detection.Direction..deg.","Detection.Distance..m.","Temporary.Animal.ID","Life.Stage.Code","Sex.Code","Activity.Code","Feature.Type","Feature.Label","Feature.Count","Sign.Type.Code","Sign.or.Sample.Age.Code","Sign.Count","Group.Label","Adult.Males","Adult.Females","Adults...Unclassified.Sex","Juvenile.Males","Juvenile.Females","Juveniles...Unclassified.Sex","Males...Unclassified.Life.Stage","Females...Unclassified.Life.Stage","Unclassified.Life.Stage.and.Sex","Eggs","Egg.Masses","Larvae","Pupae","Hatchlings","Fledglings"
5572,35081,32464,"Burges James Gadsden Park",39533,258704,"Burges James Gadsden Park",576618,"2016","2016-04-29T00:00:00Z",0,NA,NA,14,"Craig Browne",11,495185,5695910,-117.06924,51.41439,"Transect - Start",28122,"A-PSRE",NA,3,"1 bright green, 2 dark green",1373519,"VI",NA,NA,NA,"",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5572,35081,32464,"Burges James Gadsden Park",39533,258704,"Burges James Gadsden Park",576618,"2016","2016-04-29T00:00:00Z",0,NA,NA,14,"Craig Browne",11,495185,5695910,-117.06924,51.41439,"Transect - Start",28122,"A-PSRE",NA,1,"Heard more auditory on the walk out",1373523,"CA",NA,NA,NA,"",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5572,35081,32464,"Burges James Gadsden Park",39533,258704,"Burges James Gadsden Park",576618,"2016","2016-04-29T00:00:00Z",0,NA,NA,14,"Craig Browne",11,495185,5695910,-117.06924,51.41439,"Transect - Start",1451,"A-ANBO",NA,5,"Mating",1373520,"VI",NA,NA,NA,"",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5572,35081,32464,"Burges James Gadsden Park",39533,258704,"Burges James Gadsden Park",576618,"2016","2016-04-29T00:00:00Z",0,NA,NA,14,"Craig Browne",11,495185,5695910,-117.06924,51.41439,"Transect - Start",1451,"A-ANBO",NA,400,"Observed around the mating couple, very small eggs strung together",1373521,"VI",NA,NA,NA,"",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,NA,NA,NA,NA,NA
5572,40440,36840,"Yellow Point Bog Ecological Reserve",40465,270171,"Station 1 (visual)",612415,"2017","2017-04-18T00:00:00Z",1300,NA,NA,11,"Erica Mcclaren",10,442210,5433641,-123.79094,49.05293,"Survey Observation",1441,"A-AMGR",NA,1,"",1468215,"VI",NA,NA,NA,"",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5572,40112,32464,"Burges James Gadsden Park",40394,258704,"Burges James Gadsden Park",611369,"2019","2019-06-18T00:00:00Z",1110,NA,NA,NA,"Jordon Austin",11,495185,5695910,-117.06924,51.41439,"Transect - Start",780,"AMPHIBIA",NA,1,"East side of transect",1453361,"VI",NA,NA,NA,"",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
5572,40112,32464,"Burges James Gadsden Park",40394,258704,"Burges James Gadsden Park",611370,"2019","2019-06-18T00:00:00Z",1116,NA,NA,NA,"Jordon Austin",11,495185,5695910,-117.06924,51.41439,"Transect - Start",780,"AMPHIBIA",NA,1,"East side of transect",1453362,"VI",NA,NA,NA,"",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
5572,35081,32464,"Burges James Gadsden Park",39533,258704,"Burges James Gadsden Park",576618,"2016","2016-04-29T00:00:00Z",0,NA,NA,14,"Craig Browne",11,495185,5695910,-117.06924,51.41439,"Transect - Start",27075,"A-RALU",NA,2,"Observed one just south of transect; observed two dead Columbia",1373522,"VI",NA,NA,NA,"",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5572,40440,36840,"Yellow Point Bog Ecological Reserve",40465,270171,"Station 1 (visual)",612415,"2017","2017-04-18T00:00:00Z",1300,NA,NA,11,"Erica Mcclaren",10,442210,5433641,-123.79094,49.05293,"Survey Observation",27855,"NULL",NA,0,"",1468216,"CA",NA,NA,NA,"",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5572,35158,32522,"Alice Lake Park",39555,258722,"Fawn Lake Transect",576745,"2015","2015-04-10T00:00:00Z",1340,NA,NA,9,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start",28122,"A-PSRE",NA,5,"",1373736,"VI",NA,NA,NA,"",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
5572,35158,32522,"Alice Lake Park",39555,258722,"Fawn Lake Transect",576745,"2015","2015-04-10T00:00:00Z",1340,NA,NA,9,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start",28122,"A-PSRE",NA,1,"",1373737,"VI",NA,NA,NA,"",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5572,35159,32523,"Big Bar Lake Park",39554,258721,"Otter Lake",576744,"2015","2015-06-11T00:00:00Z",1430,NA,NA,NA,"Tom Hughes",10,582342,5685947,-121.81839,51.31886,"Transect - Start",28122,"A-PSRE",NA,1,"",1373727,"VI",NA,NA,NA,"",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5572,40114,32466,"Hai Lake-Mount Herman Park",40402,258712,"Visual survey",611454,"2019","2019-09-25T00:00:00Z",1535,NA,NA,9,"Diana Christianson",9,526292,6029350,-128.59489,54.41121,"Transect - Start",1451,"A-ANBO",NA,2,"Weather Conditions: Overcast/Calm/Moderate Precip/9 deg. C",1453445,"VI",NA,NA,NA,"",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5572,35158,32522,"Alice Lake Park",39555,258722,"Fawn Lake Transect",576745,"2015","2015-04-10T00:00:00Z",1340,NA,NA,9,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start",1451,"A-ANBO",NA,10,"",1373732,"VI",NA,NA,NA,"",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5572,35158,32522,"Alice Lake Park",39555,258722,"Fawn Lake Transect",576745,"2015","2015-04-10T00:00:00Z",1340,NA,NA,9,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start",1451,"A-ANBO",NA,5,"",1373733,"VI",NA,NA,NA,"",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5572,35158,32522,"Alice Lake Park",39555,258722,"Fawn Lake Transect",576745,"2015","2015-04-10T00:00:00Z",1340,NA,NA,9,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start",1451,"A-ANBO",NA,3,"three areas with lots of eggs",1373734,"VI",NA,NA,NA,"",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
