"Study.Area","Year","Month","Day","Visit.Start.Date","Visit.Start.Time","Air.Temperature..C.","Field.Observer.Name","UTM.Zone","UTM.Easting","UTM.Northing","Longitude..DD.","Latitude..DD.","Geographic.Coordinate.Source","Species.Code","Count","Survey.Observation.Note","Det.Type","Life.Stage.Code","Activity.Code","Feature.Type","Sign.Type.Code","Sign.Count","Adult.Males","Adult.Females","Adults...Unclassified.Sex","Eggs","Egg.Masses","Larvae"
"Burges James Gadsden Park",2016,4,29,"2016-04-29",0,14,"Craig Browne",11,495185,5695910,-117.06924,51.41439,"Transect - Start","A-PSRE",3,"1 bright green, 2 dark green","VI","","","","",NA,NA,NA,3,NA,NA,NA
"Burges James Gadsden Park",2016,4,29,"2016-04-29",0,14,"Craig Browne",11,495185,5695910,-117.06924,51.41439,"Transect - Start","A-PSRE",1,"Heard more auditory on the walk out","CA","","","","",NA,NA,NA,1,NA,NA,NA
"Burges James Gadsden Park",2016,4,29,"2016-04-29",0,14,"Craig Browne",11,495185,5695910,-117.06924,51.41439,"Transect - Start","A-ANBO",5,"Mating","VI","","","","",NA,NA,NA,5,NA,NA,NA
"Burges James Gadsden Park",2016,4,29,"2016-04-29",0,14,"Craig Browne",11,495185,5695910,-117.06924,51.41439,"Transect - Start","A-ANBO",400,"Observed around the mating couple, very small eggs strung together","VI","","","","",NA,NA,NA,NA,400,NA,NA
"Yellow Point Bog Ecological Reserve",2017,4,18,"2017-04-18",1300,11,"Erica Mcclaren",10,442210,5433641,-123.79094,49.05293,"Survey Observation","A-AMGR",1,"","VI","","","","",NA,NA,NA,NA,1,NA,NA
"Burges James Gadsden Park",2019,6,18,"2019-06-18",1110,NA,"Jordon Austin",11,495185,5695910,-117.06924,51.41439,"Transect - Start","AMPHIBIA",1,"East side of transect","VI","","","","",NA,NA,NA,NA,NA,NA,1
"Burges James Gadsden Park",2019,6,18,"2019-06-18",1116,NA,"Jordon Austin",11,495185,5695910,-117.06924,51.41439,"Transect - Start","AMPHIBIA",1,"East side of transect","VI","","","","",NA,NA,NA,NA,NA,NA,1
"Burges James Gadsden Park",2016,4,29,"2016-04-29",0,14,"Craig Browne",11,495185,5695910,-117.06924,51.41439,"Transect - Start","A-RALU",2,"Observed one just south of transect; observed two dead Columbia","VI","","","","",NA,NA,NA,2,NA,NA,NA
"Yellow Point Bog Ecological Reserve",2017,4,18,"2017-04-18",1300,11,"Erica Mcclaren",10,442210,5433641,-123.79094,49.05293,"Survey Observation","NULL",0,"","CA","","","","",NA,NA,NA,NA,NA,NA,NA
"Alice Lake Park",2015,4,10,"2015-04-10",1340,9,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start","A-PSRE",5,"","VI","","","","",NA,NA,NA,NA,5,NA,NA
