"Project.ID","Survey.ID","Study.Area.ID","Study.Area","Study.Area.Visit.ID","Design.Component.ID","Design.Component.Label","Design.Component.Visit.ID","Year","Visit.Start.Date","Visit.Start.Time","Nights.Deployed","Design.Component.Visit.Note","Air.Temperature..C.","Field.Observer.Name","UTM.Zone","UTM.Easting","UTM.Northing","Longitude..DD.","Latitude..DD.","Geographic.Coordinate.Source","Taxonomic.Unit.ID","Species.Code","Animal.ID","Count","Survey.Observation.Note","Survey.Observation.ID","Inventory.Method","Spatial.Accuracy..m....SMT","Detection.Type.Code","Detection.Direction..deg.","Detection.Distance..m.","Temporary.Animal.ID","Life.Stage.Code","Sex.Code","Activity.Code","Feature.Type","Feature.Label","Feature.Count","Sign.Type.Code","Sign.or.Sample.Age.Code","Sign.Count","Group.Label","Adult.Males","Adult.Females","Adults...Unclassified.Sex","Juvenile.Males","Juvenile.Females","Juveniles...Unclassified.Sex","Males...Unclassified.Life.Stage","Females...Unclassified.Life.Stage","Unclassified.Life.Stage.and.Sex","Eggs","Egg.Masses","Larvae","Pupae","Hatchlings","Fledglings"
5516,32367,30494,"Yellow Point Bog Ecological Reserve",39097,253814,"Obs Pt East",548178,"2013","2013-05-16T00:00:00Z",1330,NA,NA,NA,"Rob Waters",10,442201,5433639,-123.79107,49.05291,"Sample Station - Centroid",27855,"NULL","",0,"",1299012,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,32367,30494,"Yellow Point Bog Ecological Reserve",39097,253815,"Obs Pt West",548184,"2013","2013-05-16T00:00:00Z",1330,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",27855,"NULL","",0,"",1299011,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,32367,30494,"Yellow Point Bog Ecological Reserve",39097,253815,"Obs Pt West",548185,"2013","2013-05-17T00:00:00Z",800,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",1529,"B-CAGO","",4,"",1299027,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
5516,32367,30494,"Yellow Point Bog Ecological Reserve",39097,253816,"Res 1",548197,"2013","2013-05-17T00:00:00Z",545,NA,NA,NA,"Rob Waters",10,441883,5433682,-123.79542,49.05327,"Sample Station - Centroid",1529,"B-CAGO","",6,"",1299032,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
5516,32367,30494,"Yellow Point Bog Ecological Reserve",39097,253815,"Obs Pt West",548186,"2013","2013-11-14T00:00:00Z",1400,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",1561,"B-HOME","",4,"",1299028,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,32367,30494,"Yellow Point Bog Ecological Reserve",39097,253814,"Obs Pt East",548179,"2013","2013-11-14T00:00:00Z",1415,NA,NA,NA,"Rob Waters",10,442201,5433639,-123.79107,49.05291,"Sample Station - Centroid",823,"ANATIDAE","",2,"",1299020,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
5516,32367,30494,"Yellow Point Bog Ecological Reserve",39097,253814,"Obs Pt East",548180,"2013","2013-11-15T00:00:00Z",1245,NA,NA,NA,"Rob Waters",10,442201,5433639,-123.79107,49.05291,"Sample Station - Centroid",1561,"B-HOME","",5,"",1299031,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,32367,30494,"Yellow Point Bog Ecological Reserve",39097,253814,"Obs Pt East",548180,"2013","2013-11-15T00:00:00Z",1245,NA,NA,NA,"Rob Waters",10,442201,5433639,-123.79107,49.05291,"Sample Station - Centroid",823,"ANATIDAE","",1,"",1299014,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
5516,32367,30494,"Yellow Point Bog Ecological Reserve",39097,253815,"Obs Pt West",548187,"2013","2013-11-15T00:00:00Z",1230,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",823,"ANATIDAE","",2,"",1299021,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
5516,32367,30494,"Yellow Point Bog Ecological Reserve",39097,253815,"Obs Pt West",548188,"2013","2013-11-18T00:00:00Z",1400,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",1561,"B-HOME","",1,"",1299015,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
